name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,Category
datsun 1200,35,4,72.0,69.0,1613,18.0,71,japan,datsun
volkswagen model 111,27,4,97.0,60.0,1834,19.0,71,europe,volkswagen
plymouth cricket,26,4,91.0,70.0,1955,20.5,71,usa,plymouth
toyota corona hardtop,24,4,113.0,95.0,2278,15.5,72,japan,toyota
dodge colt hardtop,25,4,97.5,80.0,2126,17.0,72,usa,dodge
volkswagen type 3,23,4,97.0,54.0,2254,23.5,72,europe,volkswagen
chevrolet vega,20,4,140.0,90.0,2408,19.5,72,usa,chevrolet
ford pinto runabout,21,4,122.0,86.0,2226,16.5,72,usa,ford
chevrolet impala,13,8,350.0,165.0,4274,12.0,72,usa,chevrolet
pontiac catalina,14,8,400.0,175.0,4385,12.0,72,usa,pontiac
plymouth fury iii,15,8,318.0,150.0,4135,13.5,72,usa,plymouth
ford galaxie 500,14,8,351.0,153.0,4129,13.0,72,usa,ford
amc ambassador sst,17,8,304.0,150.0,3672,11.5,72,usa,amc
mercury marquis,11,8,429.0,208.0,4633,11.0,72,usa,mercury
buick lesabre custom,13,8,350.0,155.0,4502,13.5,72,usa,buick
oldsmobile delta 88 royale,12,8,350.0,160.0,4456,13.5,72,usa,oldsmobile
chrysler newport royal,13,8,400.0,190.0,4422,12.5,72,usa,chrysler
mazda rx2 coupe,19,3,70.0,97.0,2330,13.5,72,japan,mazda
amc matador (sw),15,8,304.0,150.0,3892,12.5,72,usa,amc
chevrolet chevelle concours (sw),13,8,307.0,130.0,4098,14.0,72,usa,chevrolet
ford gran torino (sw),13,8,302.0,140.0,4294,16.0,72,usa,ford
plymouth satellite custom (sw),14,8,318.0,150.0,4077,14.0,72,usa,plymouth
volvo 145e (sw),18,4,121.0,112.0,2933,14.5,72,europe,volvo
volkswagen 411 (sw),22,4,121.0,76.0,2511,18.0,72,europe,volkswagen
peugeot 504 (sw),21,4,120.0,87.0,2979,19.5,72,europe,peugeot
renault 12 (sw),26,4,96.0,69.0,2189,18.0,72,europe,renault
ford pinto (sw),22,4,122.0,86.0,2395,16.0,72,usa,ford
datsun 510 (sw),28,4,97.0,92.0,2288,17.0,72,japan,datsun
toyouta corona mark ii (sw),23,4,120.0,97.0,2506,14.5,72,japan,toyouta
dodge colt (sw),28,4,98.0,80.0,2164,15.0,72,usa,dodge
toyota corolla 1600 (sw),27,4,97.0,88.0,2100,16.5,72,japan,toyota
buick century 350,13,8,350.0,175.0,4100,13.0,73,usa,buick
amc matador,14,8,304.0,150.0,3672,11.5,73,usa,amc
chevrolet malibu,13,8,350.0,145.0,3988,13.0,73,usa,chevrolet
ford gran torino,14,8,302.0,137.0,4042,14.5,73,usa,ford
dodge coronet custom,15,8,318.0,150.0,3777,12.5,73,usa,dodge
mercury marquis brougham,12,8,429.0,198.0,4952,11.5,73,usa,mercury
chevrolet caprice classic,13,8,400.0,150.0,4464,12.0,73,usa,chevrolet
ford ltd,13,8,351.0,158.0,4363,13.0,73,usa,ford
plymouth fury gran sedan,14,8,318.0,150.0,4237,14.5,73,usa,plymouth
chrysler new yorker brougham,13,8,440.0,215.0,4735,11.0,73,usa,chrysler
buick electra 225 custom,12,8,455.0,225.0,4951,11.0,73,usa,buick
amc ambassador brougham,13,8,360.0,175.0,3821,11.0,73,usa,amc
plymouth valiant,18,6,225.0,105.0,3121,16.5,73,usa,plymouth
chevrolet nova custom,16,6,250.0,100.0,3278,18.0,73,usa,chevrolet
amc hornet,18,6,232.0,100.0,2945,16.0,73,usa,amc
ford maverick,18,6,250.0,88.0,3021,16.5,73,usa,ford
plymouth duster,23,6,198.0,95.0,2904,16.0,73,usa,plymouth
volkswagen super beetle,26,4,97.0,46.0,1950,21.0,73,europe,volkswagen
chevrolet impala,11,8,400.0,150.0,4997,14.0,73,usa,chevrolet
ford country,12,8,400.0,167.0,4906,12.5,73,usa,ford
plymouth custom suburb,13,8,360.0,170.0,4654,13.0,73,usa,plymouth
oldsmobile vista cruiser,12,8,350.0,180.0,4499,12.5,73,usa,oldsmobile
amc gremlin,18,6,232.0,100.0,2789,15.0,73,usa,amc
toyota carina,20,4,97.0,88.0,2279,19.0,73,japan,toyota
chevrolet vega,21,4,140.0,72.0,2401,19.5,73,usa,chevrolet
datsun 610,22,4,108.0,94.0,2379,16.5,73,japan,datsun
maxda rx3,18,3,70.0,90.0,2124,13.5,73,japan,maxda
ford pinto,19,4,122.0,85.0,2310,18.5,73,usa,ford
mercury capri v6,21,6,155.0,107.0,2472,14.0,73,usa,mercury
fiat 124 sport coupe,26,4,98.0,90.0,2265,15.5,73,europe,fiat
chevrolet monte carlo s,15,8,350.0,145.0,4082,13.0,73,usa,chevrolet
pontiac grand prix,16,8,400.0,230.0,4278,9.5,73,usa,pontiac
fiat 128,29,4,68.0,49.0,1867,19.5,73,europe,fiat
opel manta,24,4,116.0,75.0,2158,15.5,73,europe,opel
audi 100ls,20,4,114.0,91.0,2582,14.0,73,europe,audi
volvo 144ea,19,4,121.0,112.0,2868,15.5,73,europe,volvo
dodge dart custom,15,8,318.0,150.0,3399,11.0,73,usa,dodge
saab 99le,24,4,121.0,110.0,2660,14.0,73,europe,saab
toyota mark ii,20,6,156.0,122.0,2807,13.5,73,japan,toyota
oldsmobile omega,11,8,350.0,180.0,3664,11.0,73,usa,oldsmobile
plymouth duster,20,6,198.0,95.0,3102,16.5,74,usa,plymouth
amc hornet,19,6,232.0,100.0,2901,16.0,74,usa,amc
chevrolet nova,15,6,250.0,100.0,3336,17.0,74,usa,chevrolet
datsun b210,31,4,79.0,67.0,1950,19.0,74,japan,datsun
ford pinto,26,4,122.0,80.0,2451,16.5,74,usa,ford
toyota corolla 1200,32,4,71.0,65.0,1836,21.0,74,japan,toyota
chevrolet vega,25,4,140.0,75.0,2542,17.0,74,usa,chevrolet
chevrolet chevelle malibu classic,16,6,250.0,100.0,3781,17.0,74,usa,chevrolet
amc matador,16,6,258.0,110.0,3632,18.0,74,usa,amc
plymouth satellite sebring,18,6,225.0,105.0,3613,16.5,74,usa,plymouth
ford gran torino,16,8,302.0,140.0,4141,14.0,74,usa,ford
buick century luxus (sw),13,8,350.0,150.0,4699,14.5,74,usa,buick
dodge coronet custom (sw),14,8,318.0,150.0,4457,13.5,74,usa,dodge
ford gran torino (sw),14,8,302.0,140.0,4638,16.0,74,usa,ford
amc matador (sw),14,8,304.0,150.0,4257,15.5,74,usa,amc
audi fox,29,4,98.0,83.0,2219,16.5,74,europe,audi
volkswagen dasher,26,4,79.0,67.0,1963,15.5,74,europe,volkswagen
opel manta,26,4,97.0,78.0,2300,14.5,74,europe,opel
toyota corona,31,4,76.0,52.0,1649,16.5,74,japan,toyota
datsun 710,32,4,83.0,61.0,2003,19.0,74,japan,datsun
dodge colt,28,4,90.0,75.0,2125,14.5,74,usa,dodge
fiat 128,24,4,90.0,75.0,2108,15.5,74,europe,fiat
fiat 124 tc,26,4,116.0,75.0,2246,14.0,74,europe,fiat
honda civic,24,4,120.0,97.0,2489,15.0,74,japan,honda
subaru,26,4,108.0,93.0,2391,15.5,74,japan,subaru
fiat x1.9,31,4,79.0,67.0,2000,16.0,74,europe,fiat
plymouth valiant custom,19,6,225.0,95.0,3264,16.0,75,usa,plymouth
chevrolet nova,18,6,250.0,105.0,3459,16.0,75,usa,chevrolet
mercury monarch,15,6,250.0,72.0,3432,21.0,75,usa,mercury
ford maverick,15,6,250.0,72.0,3158,19.5,75,usa,ford
pontiac catalina,16,8,400.0,170.0,4668,11.5,75,usa,pontiac
chevrolet bel air,15,8,350.0,145.0,4440,14.0,75,usa,chevrolet
plymouth grand fury,16,8,318.0,150.0,4498,14.5,75,usa,plymouth
ford ltd,14,8,351.0,148.0,4657,13.5,75,usa,ford
buick century,17,6,231.0,110.0,3907,21.0,75,usa,buick
chevroelt chevelle malibu,16,6,250.0,105.0,3897,18.5,75,usa,chevroelt
amc matador,15,6,258.0,110.0,3730,19.0,75,usa,amc
plymouth fury,18,6,225.0,95.0,3785,19.0,75,usa,plymouth
buick skyhawk,21,6,231.0,110.0,3039,15.0,75,usa,buick
chevrolet monza 2+2,20,8,262.0,110.0,3221,13.5,75,usa,chevrolet
ford mustang ii,13,8,302.0,129.0,3169,12.0,75,usa,ford
toyota corolla,29,4,97.0,75.0,2171,16.0,75,japan,toyota
ford pinto,23,4,140.0,83.0,2639,17.0,75,usa,ford
amc gremlin,20,6,232.0,100.0,2914,16.0,75,usa,amc
pontiac astro,23,4,140.0,78.0,2592,18.5,75,usa,pontiac
toyota corona,24,4,134.0,96.0,2702,13.5,75,japan,toyota
volkswagen dasher,25,4,90.0,71.0,2223,16.5,75,europe,volkswagen
datsun 710,24,4,119.0,97.0,2545,17.0,75,japan,datsun
ford pinto,18,6,171.0,97.0,2984,14.5,75,usa,ford
volkswagen rabbit,29,4,90.0,70.0,1937,14.0,75,europe,volkswagen
amc pacer,19,6,232.0,90.0,3211,17.0,75,usa,amc
audi 100ls,23,4,115.0,95.0,2694,15.0,75,europe,audi
peugeot 504,23,4,120.0,88.0,2957,17.0,75,europe,peugeot
volvo 244dl,22,4,121.0,98.0,2945,14.5,75,europe,volvo
saab 99le,25,4,121.0,115.0,2671,13.5,75,europe,saab
honda civic cvcc,33,4,91.0,53.0,1795,17.5,75,japan,honda
fiat 131,28,4,107.0,86.0,2464,15.5,76,europe,fiat
opel 1900,25,4,116.0,81.0,2220,16.9,76,europe,opel
capri ii,25,4,140.0,92.0,2572,14.9,76,usa,capri
dodge colt,26,4,98.0,79.0,2255,17.7,76,usa,dodge
renault 12tl,27,4,101.0,83.0,2202,15.3,76,europe,renault
chevrolet chevelle malibu classic,17,8,305.0,140.0,4215,13.0,76,usa,chevrolet
dodge coronet brougham,16,8,318.0,150.0,4190,13.0,76,usa,dodge
amc matador,15,8,304.0,120.0,3962,13.9,76,usa,amc
ford gran torino,14,8,351.0,152.0,4215,12.8,76,usa,ford
plymouth valiant,22,6,225.0,100.0,3233,15.4,76,usa,plymouth
chevrolet nova,22,6,250.0,105.0,3353,14.5,76,usa,chevrolet
ford maverick,24,6,200.0,81.0,3012,17.6,76,usa,ford
amc hornet,22,6,232.0,90.0,3085,17.6,76,usa,amc
chevrolet chevette,29,4,85.0,52.0,2035,22.2,76,usa,chevrolet
chevrolet woody,24,4,98.0,60.0,2164,22.1,76,usa,chevrolet
vw rabbit,29,4,90.0,70.0,1937,14.2,76,europe,vw
honda civic,33,4,91.0,53.0,1795,17.4,76,japan,honda
dodge aspen se,20,6,225.0,100.0,3651,17.7,76,usa,dodge
ford granada ghia,18,6,250.0,78.0,3574,21.0,76,usa,ford
pontiac ventura sj,18,6,250.0,110.0,3645,16.2,76,usa,pontiac
amc pacer d/l,17,6,258.0,95.0,3193,17.8,76,usa,amc
volkswagen rabbit,29,4,97.0,71.0,1825,12.2,76,europe,volkswagen
datsun b-210,32,4,85.0,70.0,1990,17.0,76,japan,datsun
toyota corolla,28,4,97.0,75.0,2155,16.4,76,japan,toyota
ford pinto,26,4,140.0,72.0,2565,13.6,76,usa,ford
volvo 245,20,4,130.0,102.0,3150,15.7,76,europe,volvo
plymouth volare premier v8,13,8,318.0,150.0,3940,13.2,76,usa,plymouth
peugeot 504,19,4,120.0,88.0,3270,21.9,76,europe,peugeot
toyota mark ii,19,6,156.0,108.0,2930,15.5,76,japan,toyota
mercedes-benz 280s,16,6,168.0,120.0,3820,16.7,76,europe,mercedes-benz
cadillac seville,16,8,350.0,180.0,4380,12.1,76,usa,cadillac
chevy c10,13,8,350.0,145.0,4055,12.0,76,usa,chevy
ford f108,13,8,302.0,130.0,3870,15.0,76,usa,ford
dodge d100,13,8,318.0,150.0,3755,14.0,76,usa,dodge
honda accord cvcc,31,4,98.0,68.0,2045,18.5,77,japan,honda
buick opel isuzu deluxe,30,4,111.0,80.0,2155,14.8,77,usa,buick
renault 5 gtl,36,4,79.0,58.0,1825,18.6,77,europe,renault
plymouth arrow gs,25,4,122.0,96.0,2300,15.5,77,usa,plymouth
datsun f-10 hatchback,33,4,85.0,70.0,1945,16.8,77,japan,datsun
chevrolet caprice classic,17,8,305.0,145.0,3880,12.5,77,usa,chevrolet
oldsmobile cutlass supreme,17,8,260.0,110.0,4060,19.0,77,usa,oldsmobile
dodge monaco brougham,15,8,318.0,145.0,4140,13.7,77,usa,dodge
mercury cougar brougham,15,8,302.0,130.0,4295,14.9,77,usa,mercury
chevrolet concours,17,6,250.0,110.0,3520,16.4,77,usa,chevrolet
buick skylark,20,6,231.0,105.0,3425,16.9,77,usa,buick
plymouth volare custom,19,6,225.0,100.0,3630,17.7,77,usa,plymouth
ford granada,18,6,250.0,98.0,3525,19.0,77,usa,ford
pontiac grand prix lj,16,8,400.0,180.0,4220,11.1,77,usa,pontiac
chevrolet monte carlo landau,15,8,350.0,170.0,4165,11.4,77,usa,chevrolet
chrysler cordoba,15,8,400.0,190.0,4325,12.2,77,usa,chrysler
ford thunderbird,16,8,351.0,149.0,4335,14.5,77,usa,ford
volkswagen rabbit custom,29,4,97.0,78.0,1940,14.5,77,europe,volkswagen
pontiac sunbird coupe,24,4,151.0,88.0,2740,16.0,77,usa,pontiac
toyota corolla liftback,26,4,97.0,75.0,2265,18.2,77,japan,toyota
ford mustang ii 2+2,25,4,140.0,89.0,2755,15.8,77,usa,ford
chevrolet chevette,30,4,98.0,63.0,2051,17.0,77,usa,chevrolet
dodge colt m/m,33,4,98.0,83.0,2075,15.9,77,usa,dodge
subaru dl,30,4,97.0,67.0,1985,16.4,77,japan,subaru
volkswagen dasher,30,4,97.0,78.0,2190,14.1,77,europe,volkswagen
datsun 810,22,6,146.0,97.0,2815,14.5,77,japan,datsun
bmw 320i,21,4,121.0,110.0,2600,12.8,77,europe,bmw
mazda rx-4,21,3,80.0,110.0,2720,13.5,77,japan,mazda
volkswagen rabbit custom diesel,43,4,90.0,48.0,1985,21.5,78,europe,volkswagen
ford fiesta,36,4,98.0,66.0,1800,14.4,78,usa,ford
mazda glc deluxe,32,4,78.0,52.0,1985,19.4,78,japan,mazda
datsun b210 gx,39,4,85.0,70.0,2070,18.6,78,japan,datsun
honda civic cvcc,36,4,91.0,60.0,1800,16.4,78,japan,honda
oldsmobile cutlass salon brougham,19,8,260.0,110.0,3365,15.5,78,usa,oldsmobile
dodge diplomat,19,8,318.0,140.0,3735,13.2,78,usa,dodge
mercury monarch ghia,20,8,302.0,139.0,3570,12.8,78,usa,mercury
pontiac phoenix lj,19,6,231.0,105.0,3535,19.2,78,usa,pontiac
chevrolet malibu,20,6,200.0,95.0,3155,18.2,78,usa,chevrolet
ford fairmont (auto),20,6,200.0,85.0,2965,15.8,78,usa,ford
ford fairmont (man),25,4,140.0,88.0,2720,15.4,78,usa,ford
plymouth volare,20,6,225.0,100.0,3430,17.2,78,usa,plymouth
amc concord,19,6,232.0,90.0,3210,17.2,78,usa,amc
buick century special,20,6,231.0,105.0,3380,15.8,78,usa,buick
mercury zephyr,20,6,200.0,85.0,3070,16.7,78,usa,mercury
dodge aspen,18,6,225.0,110.0,3620,18.7,78,usa,dodge
amc concord d/l,18,6,258.0,120.0,3410,15.1,78,usa,amc
chevrolet monte carlo landau,19,8,305.0,145.0,3425,13.2,78,usa,chevrolet
buick regal sport coupe (turbo),17,6,231.0,165.0,3445,13.4,78,usa,buick
ford futura,18,8,302.0,139.0,3205,11.2,78,usa,ford
dodge magnum xe,17,8,318.0,140.0,4080,13.7,78,usa,dodge
chevrolet chevette,30,4,98.0,68.0,2155,16.5,78,usa,chevrolet
toyota corona,27,4,134.0,95.0,2560,14.2,78,japan,toyota
datsun 510,27,4,119.0,97.0,2300,14.7,78,japan,datsun
dodge omni,30,4,105.0,75.0,2230,14.5,78,usa,dodge
toyota celica gt liftback,21,4,134.0,95.0,2515,14.8,78,japan,toyota
plymouth sapporo,23,4,156.0,105.0,2745,16.7,78,usa,plymouth
oldsmobile starfire sx,23,4,151.0,85.0,2855,17.6,78,usa,oldsmobile
datsun 200-sx,23,4,119.0,97.0,2405,14.9,78,japan,datsun
audi 5000,20,5,131.0,103.0,2830,15.9,78,europe,audi
volvo 264gl,17,6,163.0,125.0,3140,13.6,78,europe,volvo
saab 99gle,21,4,121.0,115.0,2795,15.7,78,europe,saab
peugeot 604sl,16,6,163.0,133.0,3410,15.8,78,europe,peugeot
volkswagen scirocco,31,4,89.0,71.0,1990,14.9,78,europe,volkswagen
honda accord lx,29,4,98.0,68.0,2135,16.6,78,japan,honda
pontiac lemans v6,21,6,231.0,115.0,3245,15.4,79,usa,pontiac
mercury zephyr 6,19,6,200.0,85.0,2990,18.2,79,usa,mercury
ford fairmont 4,22,4,140.0,88.0,2890,17.3,79,usa,ford
amc concord dl 6,20,6,232.0,90.0,3265,18.2,79,usa,amc
dodge aspen 6,20,6,225.0,110.0,3360,16.6,79,usa,dodge
chevrolet caprice classic,17,8,305.0,130.0,3840,15.4,79,usa,chevrolet
ford ltd landau,17,8,302.0,129.0,3725,13.4,79,usa,ford
mercury grand marquis,16,8,351.0,138.0,3955,13.2,79,usa,mercury
dodge st. regis,18,8,318.0,135.0,3830,15.2,79,usa,dodge
buick estate wagon (sw),16,8,350.0,155.0,4360,14.9,79,usa,buick
ford country squire (sw),15,8,351.0,142.0,4054,14.3,79,usa,ford
chevrolet malibu classic (sw),19,8,267.0,125.0,3605,15.0,79,usa,chevrolet
chrysler lebaron town @ country (sw),18,8,360.0,150.0,3940,13.0,79,usa,chrysler
vw rabbit custom,31,4,89.0,71.0,1925,14.0,79,europe,vw
maxda glc deluxe,34,4,86.0,65.0,1975,15.2,79,japan,maxda
dodge colt hatchback custom,35,4,98.0,80.0,1915,14.4,79,usa,dodge
amc spirit dl,27,4,121.0,80.0,2670,15.0,79,usa,amc
mercedes benz 300d,25,5,183.0,77.0,3530,20.1,79,europe,mercedes
cadillac eldorado,23,8,350.0,125.0,3900,17.4,79,usa,cadillac
peugeot 504,27,4,141.0,71.0,3190,24.8,79,europe,peugeot
oldsmobile cutlass salon brougham,23,8,260.0,90.0,3420,22.2,79,usa,oldsmobile
plymouth horizon,34,4,105.0,70.0,2200,13.2,79,usa,plymouth
plymouth horizon tc3,34,4,105.0,70.0,2150,14.9,79,usa,plymouth
datsun 210,31,4,85.0,65.0,2020,19.2,79,japan,datsun
fiat strada custom,37,4,91.0,69.0,2130,14.7,79,europe,fiat
buick skylark limited,28,4,151.0,90.0,2670,16.0,79,usa,buick
chevrolet citation,28,6,173.0,115.0,2595,11.3,79,usa,chevrolet
oldsmobile omega brougham,26,6,173.0,115.0,2700,12.9,79,usa,oldsmobile
pontiac phoenix,33,4,151.0,90.0,2556,13.2,79,usa,pontiac
vw rabbit,41,4,98.0,76.0,2144,14.7,80,europe,vw
toyota corolla tercel,38,4,89.0,60.0,1968,18.8,80,japan,toyota
chevrolet chevette,32,4,98.0,70.0,2120,15.5,80,usa,chevrolet
datsun 310,37,4,86.0,65.0,2019,16.4,80,japan,datsun
chevrolet citation,28,4,151.0,90.0,2678,16.5,80,usa,chevrolet
ford fairmont,26,4,140.0,88.0,2870,18.1,80,usa,ford
amc concord,24,4,151.0,90.0,3003,20.1,80,usa,amc
dodge aspen,19,6,225.0,90.0,3381,18.7,80,usa,dodge
audi 4000,34,4,97.0,78.0,2188,15.8,80,europe,audi
toyota corona liftback,29,4,134.0,90.0,2711,15.5,80,japan,toyota
mazda 626,31,4,120.0,75.0,2542,17.5,80,japan,mazda
datsun 510 hatchback,37,4,119.0,92.0,2434,15.0,80,japan,datsun
toyota corolla,32,4,108.0,75.0,2265,15.2,80,japan,toyota
mazda glc,46,4,86.0,65.0,2110,17.9,80,japan,mazda
dodge colt,27,4,156.0,105.0,2800,14.4,80,usa,dodge
datsun 210,40,4,85.0,65.0,2110,19.2,80,japan,datsun
vw rabbit c (diesel),44,4,90.0,48.0,2085,21.7,80,europe,vw
vw dasher (diesel),43,4,90.0,48.0,2335,23.7,80,europe,vw
audi 5000s (diesel),36,5,121.0,67.0,2950,19.9,80,europe,audi
mercedes-benz 240d,30,4,146.0,67.0,3250,21.8,80,europe,mercedes-benz
honda civic 1500 gl,44,4,91.0,67.0,1850,13.8,80,japan,honda
subaru dl,33,4,97.0,67.0,2145,18.0,80,japan,subaru
vokswagen rabbit,29,4,89.0,62.0,1845,15.3,80,europe,vokswagen
datsun 280-zx,32,6,168.0,132.0,2910,11.4,80,japan,datsun
mazda rx-7 gs,23,3,70.0,100.0,2420,12.5,80,japan,mazda
triumph tr7 coupe,35,4,122.0,88.0,2500,15.1,80,europe,triumph
honda accord,32,4,107.0,72.0,2290,17.0,80,japan,honda
plymouth reliant,27,4,135.0,84.0,2490,15.7,81,usa,plymouth
buick skylark,26,4,151.0,84.0,2635,16.4,81,usa,buick
dodge aries wagon (sw),25,4,156.0,92.0,2620,14.4,81,usa,dodge
chevrolet citation,23,6,173.0,110.0,2725,12.6,81,usa,chevrolet
plymouth reliant,30,4,135.0,84.0,2385,12.9,81,usa,plymouth
toyota starlet,39,4,79.0,58.0,1755,16.9,81,japan,toyota
plymouth champ,39,4,86.0,64.0,1875,16.4,81,usa,plymouth
honda civic 1300,35,4,81.0,60.0,1760,16.1,81,japan,honda
subaru,32,4,97.0,67.0,2065,17.8,81,japan,subaru
datsun 210 mpg,37,4,85.0,65.0,1975,19.4,81,japan,datsun
toyota tercel,37,4,89.0,62.0,2050,17.3,81,japan,toyota
mazda glc 4,34,4,91.0,68.0,1985,16.0,81,japan,mazda
plymouth horizon 4,34,4,105.0,63.0,2215,14.9,81,usa,plymouth
ford escort 4w,34,4,98.0,65.0,2045,16.2,81,usa,ford
ford escort 2h,29,4,98.0,65.0,2380,20.7,81,usa,ford
volkswagen jetta,33,4,105.0,74.0,2190,14.2,81,europe,volkswagen
honda prelude,33,4,107.0,75.0,2210,14.4,81,japan,honda
toyota corolla,32,4,108.0,75.0,2350,16.8,81,japan,toyota
datsun 200sx,32,4,119.0,100.0,2615,14.8,81,japan,datsun
mazda 626,31,4,120.0,74.0,2635,18.3,81,japan,mazda
peugeot 505s turbo diesel,28,4,141.0,80.0,3230,20.4,81,europe,peugeot
volvo diesel,30,6,145.0,76.0,3160,19.6,81,europe,volvo
toyota cressida,25,6,168.0,116.0,2900,12.6,81,japan,toyota
datsun 810 maxima,24,6,146.0,120.0,2930,13.8,81,japan,datsun
buick century,22,6,231.0,110.0,3415,15.8,81,usa,buick
oldsmobile cutlass ls,26,8,350.0,105.0,3725,19.0,81,usa,oldsmobile
ford granada gl,20,6,200.0,88.0,3060,17.1,81,usa,ford
chrysler lebaron salon,17,6,225.0,85.0,3465,16.6,81,usa,chrysler
chevrolet cavalier,28,4,112.0,88.0,2605,19.6,82,usa,chevrolet
chevrolet cavalier wagon,27,4,112.0,88.0,2640,18.6,82,usa,chevrolet
chevrolet cavalier 2-door,34,4,112.0,88.0,2395,18.0,82,usa,chevrolet
pontiac j2000 se hatchback,31,4,112.0,85.0,2575,16.2,82,usa,pontiac
dodge aries se,29,4,135.0,84.0,2525,16.0,82,usa,dodge
pontiac phoenix,27,4,151.0,90.0,2735,18.0,82,usa,pontiac
ford fairmont futura,24,4,140.0,92.0,2865,16.4,82,usa,ford
volkswagen rabbit l,36,4,105.0,74.0,1980,15.3,82,europe,volkswagen
mazda glc custom l,37,4,91.0,68.0,2025,18.2,82,japan,mazda
mazda glc custom,31,4,91.0,68.0,1970,17.6,82,japan,mazda
plymouth horizon miser,38,4,105.0,63.0,2125,14.7,82,usa,plymouth
mercury lynx l,36,4,98.0,70.0,2125,17.3,82,usa,mercury
nissan stanza xe,36,4,120.0,88.0,2160,14.5,82,japan,nissan
honda accord,36,4,107.0,75.0,2205,14.5,82,japan,honda
toyota corolla,34,4,108.0,70.0,2245,16.9,82,japan,toyota
honda civic,38,4,91.0,67.0,1965,15.0,82,japan,honda
